image_path,label
./final_data\cardboard\cardboard_0_cardboard 0.jpg,0
./final_data\cardboard\cardboard_1_cardboard 1007.jpg,0
./final_data\cardboard\cardboard_2_cardboard 1022.jpg,0
./final_data\cardboard\cardboard_3_cardboard 1043.jpg,0
./final_data\cardboard\cardboard_4_cardboard 1044.jpg,0
./final_data\cardboard\cardboard_5_cardboard 1053.jpg,0
./final_data\cardboard\cardboard_6_cardboard 1055.jpg,0
./final_data\cardboard\cardboard_7_cardboard 1060.jpg,0
./final_data\cardboard\cardboard_8_cardboard 1063.jpg,0
./final_data\cardboard\cardboard_9_cardboard 1074.jpg,0
./final_data\cardboard\cardboard_10_cardboard 1088.jpg,0
./final_data\cardboard\cardboard_11_cardboard 109.jpg,0
./final_data\cardboard\cardboard_12_cardboard 11.jpg,0
./final_data\cardboard\cardboard_13_cardboard 1108.jpg,0
./final_data\cardboard\cardboard_14_cardboard 1134.jpg,0
./final_data\cardboard\cardboard_15_cardboard 114.jpg,0
./final_data\cardboard\cardboard_16_cardboard 1142.jpg,0
./final_data\cardboard\cardboard_17_cardboard 1153.jpg,0
./final_data\cardboard\cardboard_18_cardboard 1155.jpg,0
./final_data\cardboard\cardboard_19_cardboard 1157.jpg,0
./final_data\cardboard\cardboard_20_cardboard 1159.jpg,0
./final_data\cardboard\cardboard_21_cardboard 1166.jpg,0
./final_data\cardboard\cardboard_22_cardboard 1183.jpg,0
./final_data\cardboard\cardboard_23_cardboard 1190.jpg,0
./final_data\cardboard\cardboard_24_cardboard 1195.jpg,0
./final_data\cardboard\cardboard_25_cardboard 1196.jpg,0
./final_data\cardboard\cardboard_26_cardboard 1203.jpg,0
./final_data\cardboard\cardboard_27_cardboard 1205.jpg,0
./final_data\cardboard\cardboard_28_cardboard 1214.jpg,0
./final_data\cardboard\cardboard_29_cardboard 1215.jpg,0
./final_data\cardboard\cardboard_30_cardboard 1238.jpg,0
./final_data\cardboard\cardboard_31_cardboard 1243.jpg,0
./final_data\cardboard\cardboard_32_cardboard 1245.jpg,0
./final_data\cardboard\cardboard_33_cardboard 1247.jpg,0
./final_data\cardboard\cardboard_34_cardboard 125.jpg,0
./final_data\cardboard\cardboard_35_cardboard 1263.jpg,0
./final_data\cardboard\cardboard_36_cardboard 127.jpg,0
./final_data\cardboard\cardboard_37_cardboard 1286.jpg,0
./final_data\cardboard\cardboard_38_cardboard 1287.jpg,0
./final_data\cardboard\cardboard_39_cardboard 1294.jpg,0
./final_data\cardboard\cardboard_40_cardboard 1297.jpg,0
./final_data\cardboard\cardboard_41_cardboard 1313.jpg,0
./final_data\cardboard\cardboard_42_cardboard 1326.jpg,0
./final_data\cardboard\cardboard_43_cardboard 1375.jpg,0
./final_data\cardboard\cardboard_44_cardboard 1377.jpg,0
./final_data\cardboard\cardboard_45_cardboard 1383.jpg,0
./final_data\cardboard\cardboard_46_cardboard 1390.jpg,0
./final_data\cardboard\cardboard_47_cardboard 140.jpg,0
./final_data\cardboard\cardboard_48_cardboard 1416.jpg,0
./final_data\cardboard\cardboard_49_cardboard 1421.jpg,0
./final_data\cardboard\cardboard_50_cardboard 1434.jpg,0
./final_data\cardboard\cardboard_51_cardboard 1479.jpg,0
./final_data\cardboard\cardboard_52_cardboard 15.jpg,0
./final_data\cardboard\cardboard_53_cardboard 1511.jpg,0
./final_data\cardboard\cardboard_54_cardboard 1529.jpg,0
./final_data\cardboard\cardboard_55_cardboard 1543.jpg,0
./final_data\cardboard\cardboard_56_cardboard 1546.jpg,0
./final_data\cardboard\cardboard_57_cardboard 1550.jpg,0
./final_data\cardboard\cardboard_58_cardboard 156.jpg,0
./final_data\cardboard\cardboard_59_cardboard 1571.jpg,0
./final_data\cardboard\cardboard_60_cardboard 1572.jpg,0
./final_data\cardboard\cardboard_61_cardboard 1576.jpg,0
./final_data\cardboard\cardboard_62_cardboard 1584.jpg,0
./final_data\cardboard\cardboard_63_cardboard 1586.jpg,0
./final_data\cardboard\cardboard_64_cardboard 1587.jpg,0
./final_data\cardboard\cardboard_65_cardboard 1596.jpg,0
./final_data\cardboard\cardboard_66_cardboard 1608.jpg,0
./final_data\cardboard\cardboard_67_cardboard 1623.jpg,0
./final_data\cardboard\cardboard_68_cardboard 1624.jpg,0
./final_data\cardboard\cardboard_69_cardboard 1629.jpg,0
./final_data\cardboard\cardboard_70_cardboard 1643.jpg,0
./final_data\cardboard\cardboard_71_cardboard 1664.jpg,0
./final_data\cardboard\cardboard_72_cardboard 168.jpg,0
./final_data\cardboard\cardboard_73_cardboard 1703.jpg,0
./final_data\cardboard\cardboard_74_cardboard 1704.jpg,0
./final_data\cardboard\cardboard_75_cardboard 1705.jpg,0
./final_data\cardboard\cardboard_76_cardboard 1708.jpg,0
./final_data\cardboard\cardboard_77_cardboard 1711.jpg,0
./final_data\cardboard\cardboard_78_cardboard 1713.jpg,0
./final_data\cardboard\cardboard_79_cardboard 1714.jpg,0
./final_data\cardboard\cardboard_80_cardboard 1718.jpg,0
./final_data\cardboard\cardboard_81_cardboard 1722.jpg,0
./final_data\cardboard\cardboard_82_cardboard 1723.jpg,0
./final_data\cardboard\cardboard_83_cardboard 1724.jpg,0
./final_data\cardboard\cardboard_84_cardboard 1739.jpg,0
./final_data\cardboard\cardboard_85_cardboard 1753.jpg,0
./final_data\cardboard\cardboard_86_cardboard 1766.jpg,0
./final_data\cardboard\cardboard_87_cardboard 1781.jpg,0
./final_data\cardboard\cardboard_88_cardboard 1786.jpg,0
./final_data\cardboard\cardboard_89_cardboard 1814.jpg,0
./final_data\cardboard\cardboard_90_cardboard 1819.jpg,0
./final_data\cardboard\cardboard_91_cardboard 1827.jpg,0
./final_data\cardboard\cardboard_92_cardboard 1836.jpg,0
./final_data\cardboard\cardboard_93_cardboard 1841.jpg,0
./final_data\cardboard\cardboard_94_cardboard 1870.jpg,0
./final_data\cardboard\cardboard_95_cardboard 1871.jpg,0
./final_data\cardboard\cardboard_96_cardboard 1894.jpg,0
./final_data\cardboard\cardboard_97_cardboard 19.jpg,0
