filepath,label
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 0.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1007.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1022.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1043.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1044.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1053.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1055.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1060.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1063.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1074.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1088.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 109.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 11.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1108.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1134.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 114.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1142.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1153.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1155.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1157.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1159.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1166.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1183.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1190.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1195.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1196.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1203.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1205.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1214.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1215.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1238.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1243.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1245.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1247.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 125.jpg,cardboard
C:/Users/jmoa7/trashnet/data/dataset-resized/cardboard/cardboard 1263.jpg,cardboard
